,question,choice_list,choice_order
36,I am always black and whiteBut I'm not an old TVI'm a kind of animalThat begins with the letter ZWho am I?,"['A zodiac sign', 'A zucchini', 'A zebra.', 'A zebra fish']","[2, -1, -1, -1]"
37,"A boy stood on one side of a river, and his cat was on the other side. When the boy called his cat, it crosses the river right away. Moreover, the cat's fur remained completely dry, and it didn't use a boat, bridge, or any other manmade vessel or structure to cross the bridge.How did the cat do it?","['The river was frozen.', 'he cat walked on a series of floating logs', 'he cat used a hidden underground tunnel', 'he cat had a secret teleportation power']","[0, -1, -1, -1]"
38,"A young man entered a pet shop in search of a talking parrot. On one of the cages, he saw a sign saying, ""This parrot repeats everything it hears."" The man bought the parrot and tried to teach it to speak. Yet, he was unsuccessful. The bird didn't say one word in over 2 weeks. So the man decided to return the parrot and accused the shopkeeper of lying. However, the shopkeeper insisted that he was saying the truth...How is this possible?","['The parrot was too young to start speaking.', 'The parrot was trained not to speak.', 'The parrot was deaf.', 'The parrot was mute.']","[2, -1, -1, -1]"
39,"What king do you make if you take the head of a llama, the middle of a pig, the back of a buffalo, and the tail of a stallion?","['A lion.', 'A tiger', 'A wolf', 'A bear']","[0, -1, -1, -1]"
40,"Sneaky as a shadow in the dead of night,Cunning but affectionate if given a bite.Never owned but often loved.What am I?","['A snake', 'A dog', 'A cat.', 'A bird']","[2, -1, -1, -1]"
41,What kind of can doesn't need a can-opener?,"['A pelican.', 'A soup can', 'A soda can', 'A tuna can']","[0, -1, -1, -1]"
42,"I'm grey, but I'm no wolf,I have long ears, but I'm not a rabbit,I have hooves, but I'm not a cow.What am I?","['A donkey.', 'A rabbit', 'A cow', 'A wolf']","[0, -1, -1, -1]"
43,"I'm a pet with cute ears, four legs, and a tail at the end.You surely heard me barking. I'm known as man's best friend.What am I?","['A cat', 'A horse', 'A bird', 'A dog.']","[3, -1, -1, -1]"
44,"Some are afraid of this creature,Because it has a large bite.So be careful out in the ocean,One of its kin is a Great White.What is it?","['A shark.', 'A whale', 'A seal', 'A dolphin']","[0, -1, -1, -1]"
45,"Throughout the day I rest and sleep.At night, I fly and hunt.I have no feathers on my wings,Nor do I chirp or grunt.What am I?","['A bird', 'A butterfly', 'A vampire', 'A bat.']","[3, -1, -1, -1]"
46,I am named after the animal I eat.What am I?,"['A tiger', 'An anteater.', 'A lion', 'A bear']","[1, -1, -1, -1]"
47,"I may be small, but I can climb a tower.What am I?","['A bird', 'An ant.', 'A spider', 'A squirrel']","[1, -1, -1, -1]"
48,"I'm not a superhero, but I have a cape. I have a comb, but I don't use it on my hair, and I am famously territorial.What am I?","['A penguin', 'A lion', 'A peacock', 'A rooster.']","[3, -1, -1, -1]"
49,"Imagine the following: you are walking through the woods and a huge bear is going to attack you. You are running for your dear life, but he is getting closer and closer...How can you escape from the bear?","['Quit imagining.', '""Play dead""', '""Throw food at the bear""', '""Climb up a tree""']","[0, -1, -1, -1]"
50,What did the duck say to the rooster as he dared him to a fight?,"['""Quack off!""', '""Time to ruffle some feathers!""', '""Feathers will fly!""', 'Are you chicken?']","[3, -1, -1, -1]"
51,"The dog was wearing a 2-foot leash. When he saw a squirrel, he immediately started chasing it, and he was really able to catch the squirrel.How did the dog succeed?","['The leash was not tied to anything.', 'The dog had a secret superpower', 'The dog was incredibly fast', ""The squirrel was injured and couldn't run""]","[0, -1, -1, -1]"
52,This is a type of animalKnown for its long face.It's very good at runningSo people ride it in a race.,"['A horse.', 'A cheetah', 'A cow', 'A dog']","[0, -1, -1, -1]"
53,What do you call several identical parakeets sitting at the edge of a roof?,"['Parapets.', 'Edge', 'Parakeets', 'Roof']","[0, -1, -1, -1]"
54,What did the aardvark ask the taxi driver?,"['""Can you recommend a good restaurant?""', '""Do you know where the nearest zoo is?""', '""How much does a taxi ride usually cost?""', ""Can you take me to my ants' place?""]","[3, -1, -1, -1]"
55,Why did the silly dog swim down the rapids?,"['""Because he was chasing a fish!""', '""Because he thought it was a game!""', '""Because he wanted to cool off!""', 'Because he likes ""ruff"" waters!']","[3, -1, -1, -1]"
56,1 duck saw 4 elephants as it was going toward the river.Every elephant noticed 2 monkeys going to the river.Every monkey was carrying 1 dove in its paws.How many animals are going to the river?,"['Four animals are moving toward the river.', 'Three animals are moving toward the river.', ""Five animals are moving toward the river.Here's a detailed answer:1 duck noticed 4 elephants as it was going toward the river. Hence, 1 animal (the duck) is moving to the river.The 4 elephants saw 2 monkeys going walking toward the river. Now comes the tricky part. You may think that each elephant saw 2 different monkeys walking toward the river. So you would conclude that 4 x 2 = 8 monkeys were going to the river.However, the task does not explicitly say that each elephant saw DIFFERENT monkeys. In fact, you can logically infer that the elephants saw the SAME 2 monkeys. Hence, we only have 2 additional animals (monkeys) moving toward the river.Since every monkey was carrying 1 dove, the 2 monkeys were carrying 2 doves in total.Summing up, we have 1 duck, 2 monkeys, and 2 doves moving to the river. 1 + 2 + 2 = 5 animals."", 'Seven animals are moving toward the river.']","[2, -1, -1, -1]"
57,"You've got a sack of corn, a chicken, and a fox. You have to cross a river, but you can only carry them one at a time. If you leave the chicken with the sack of corn, the chicken will eat the corn. If you leave the fox alone with the chicken, the fox will eat the bird.How can you get all three things across the river safely?","['Cross the river with the chicken, then go back and carry the corn over the river. However, instead of leaving the corn with the bird, return together with the chicken. Cross the river for the third time with the fox, leaving the chicken behind. Leave the fox with the sack of corn, and return for the last time to get the chicken. Done!', 'Cross the river with the chicken, then go back and carry the fox over the river. However, instead of leaving the fox with the chicken, return together with the fox. Cross the river for the third time with the corn, leaving the fox behind. Leave the corn with the chicken, and return for the last time to get the fox.', 'Cross the river with the fox, then go back and carry the chicken over the river. However, instead of leaving the chicken with the fox, return together with the fox. Cross the river for the third time with the corn, leaving the fox behind. Leave the corn with the chicken, and return for the last time to get the fox.', 'Cross the river with the corn, then go back and carry the chicken over the river. However, instead of leaving the chicken with the corn, return together with the chicken. Cross the river for the third time with the fox, leaving the chicken behind. Leave the fox with the corn, and return for the last time to get the chicken.']","[0, -1, -1, -1]"
58,What do you call a three-humped camel?,"['Bumpy', 'Pregnant.', 'Unique', 'Triplet']","[1, -1, -1, -1]"
59,"You enter a room and notice a bed. There are 3 dogs, 2 cats, 1 goat, 4 crows, and a goose on the bed. In addition, 3 sparrows are flying around the bed.How many LEGS are there on the floor?","['here are 14 legs on the floor', 'There are 6 legs on the floor.', 'here are 12 legs on the floor', 'here are 10 legs on the floor']","[1, -1, -1, -1]"
60,What lives in a tiny house all alone?,"['A spider in a web', 'A mouse in a hole', 'A baby chick in an egg.', 'A bird in a nest']","[2, -1, -1, -1]"
61,"My first letter is in sea but not in ocean,The second is in change but not in motion.My third letter in boat but never in ship,And the fourth is in travel as well as in trip.The fifth letter is in dark but not in caves,And my whole is a triangle popping up from the waves.  What am I?","['A whale', 'A turtle', 'A dolphin', 'A shark.']","[3, -1, -1, -1]"
62,"My first letter is in cloud, but never in sky.The second is in roll but not in lie,My third letter is in water but not in trees.My whole makes you milk, kefir, and cheese.What am I?","['A pig', 'A goat', 'A sheep', 'A cow.']","[3, -1, -1, -1]"
63,"My first letter is in follow but not in lead, and the second is in write but not in read.My third letter is in sky but not in cloud, my fourth is in humble but not in proud.My all makes circles in a bowl, or lies on a plate cooked up whole.What am I?","['A fish.', 'A tree', 'A bird', 'A rock']","[0, -1, -1, -1]"
64,"I sizzle like bacon, but I hatched from an egg,I expand when I eat, and I have no legs.What am I?","['A lizard', 'A snake.', 'A caterpillar', 'A turtle']","[1, -1, -1, -1]"
65,"I have got a crown like a king, but I'm a disgrace when I sing.There are fewer eyes on my face than my tail, but only when I'm a male.What am I?","['A lion', 'A parrot', 'A rooster', 'A peacock.']","[3, -1, -1, -1]"
66,"I'm the opposite of a dog, but I'm not a god.I move my tail when I'm mad and growl when I'm pleased.What am I?","['A cow', 'A cat.', 'A bird', 'A snake']","[1, -1, -1, -1]"
67,I feed on leaves from treetops but my feet never leave the earth.What am I?,"['A panda', 'A giraffe.', 'A sloth', 'A koala']","[1, -1, -1, -1]"
68,"I go to school all my life, and I never leave the water, even though I breathe air. What am I?","['A dolphin.', 'A fish', 'A whale', 'A turtle']","[0, -1, -1, -1]"
69,"I often join you at parties and holidays, but I never get to enjoy them.What am I?","['A piñata', 'A present', 'A turkey.', 'A balloon']","[2, -1, -1, -1]"
70,I grow from egg to fish to creature.I burp when I talk and I jump when as I walk.What am I?,"['A tadpole', 'A lizard', 'A frog.', 'A snake']","[2, -1, -1, -1]"
71,"I have no legs, eyes, or nose, but if you give me enough time, I can move the earth.What am I?","['A snail', 'A worm.', 'A mole', 'A caterpillar']","[1, -1, -1, -1]"
72,I have black circles around my eyes - even when I'm not exhausted.What am I?,"['A skunk', 'A panda.', 'A raccoon', 'A zebra']","[1, -1, -1, -1]"
73,Play me with a ball and bat. Or hear me sing in a tophat.What am I?,"['A baseball', 'A cricket.', 'A magician', 'A bird']","[1, -1, -1, -1]"
74,"Alive without breath, as cold as death.All in mail never clinking.Never thirsty, ever drinking.What am I?","['A rock', 'A tree', 'A fish.', 'A ghost']","[2, -1, -1, -1]"
75,"Born in water, I drown in water.A blood-thirsty beast you can barely see.What am I?","['A jellyfish', 'A mosquito.', 'A vampire bat', 'A leech']","[1, -1, -1, -1]"
76,"As small as your thumb, I am light in the air.You may hear me before you see me, But trust me, I'm there.What am I?","['A hummingbird.', 'A butterfly', 'A dragonfly', 'A mosquito']","[0, -1, -1, -1]"
77,"I have a face like a tree and skin like the sea.A great beast I am, yet small vermin frighten me.What am I?","['A lion', 'An elephant.', 'A whale', 'A crocodile']","[1, -1, -1, -1]"
78,"I create my lair with earthen string,And dispatch my prey with a biting sting.What am I?","['A snake', 'A wasp', 'A spider.', 'A scorpion']","[2, -1, -1, -1]"
79,"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?","['A bird', 'A tree', 'A bee.', 'A flower']","[2, -1, -1, -1]"
80,I plow and plow but never sow.What am I?,"['A pig.', 'A tractor', 'A shovel', 'A plow horse']","[0, -1, -1, -1]"
81,"I have four legs but no tail. Usually, I am heard only at night.What am I?","['A bat', 'A cricket', 'A frog.', 'A owl']","[2, -1, -1, -1]"
82,"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?","['A silkworm.', 'A butterfly', 'A caterpillar', 'A chameleon']","[0, -1, -1, -1]"
83,"My first letter is in window but not in pane.My second's in road but not in lane.My third is in oval but not in round.My fourth is in hearing but not in sound.My whole is known as a sign of peace.And from Noah's Ark, I won quick release.What am I?","['A dove.', 'A pigeon', 'A seagull', 'A sparrow']","[0, -1, -1, -1]"
84,"A prickly house a little host contains.The pointed weapons keep back from pains,So he, unarmed, safe in his fort remains.Who is he?","['A porcupine', 'A hedgehog.', 'A sea urchin', 'A cactus']","[1, -1, -1, -1]"
85,What can honk without a horn?,"['A train', 'A goose.', 'A bicycle', 'A car']","[1, -1, -1, -1]"
86,"I am an insect, and the first part of my name is another insect.What insect am I?","['A beetle.', 'A butterfly', 'A mosquito', 'A ladybug']","[0, -1, -1, -1]"
87,My first letter is in ocean but never in sea.My second's in wasp but never in bee.My third is in glider and also in flight.My whole is a creature that comes out at night.What am I?,"['A wolf', 'An owl.', 'A bat', 'A moth']","[1, -1, -1, -1]"
88,"Oh, how I love my dancing feet!They stay together - oh so neat.And when I want to walk a line,They all stay together and do double time.I count them up, ten times or more,And race on-off, across the floor.","['A centipede.', 'A millipede', 'A caterpillar', 'A spider']","[0, -1, -1, -1]"
89,"I can jump, I can swim,I swing from tree to tree.And I can also weave a houseThat's much bigger than me.What am I?","['A squirrel', 'A bird', 'A spider.', 'A monkey']","[2, -1, -1, -1]"
90,"It can be in a hat,Or out of the bag.If you see it you'll be smitten,'Cause it's fluffy like a mitten.What is it?","['A teddy bear', 'A rabbit', 'A dog', 'A cat.']","[3, -1, -1, -1]"
91,"It's small but larger than a bee,And agile as a flea.It hums but does not buzz,And it's not covered with fuzz.It is a small collectorOr juicy flower nectar,What is it?","['A dragonfly', 'A mosquito', 'A butterfly', 'A hummingbird.']","[3, -1, -1, -1]"
92,"It can be white, blue, or black,Humped or have a horn.And when it talks, it sings its minuets,As it's traveling the depths.What is it?","['A seahorse', 'A narwhal', 'A dolphin', 'A whale.']","[3, -1, -1, -1]"
93,"I have no sword, I have no spear,Yet rule a horde that many fear,My soldiers fight with a wicked sting,I rule with might, yet I'm no king.What am I?","['A general', 'A queen bee.', 'A lion', 'A dictator']","[1, -1, -1, -1]"
94,"The cow is my cousin.If you see my name, you'll understand why.What am I?","['A moose.', 'A deer', 'A buffalo', 'A horse']","[0, -1, -1, -1]"
95,"What has armor but is not a knight,Snaps but is not a twig,And is always at homeEven on the move?","['A pangolin', 'A crab', 'A turtle.', 'A armadillo']","[2, -1, -1, -1]"
96,"If a man could carry my burden, he would break his back.I am not rich, but leave silver in my track.What am I?","['A mountain', 'A backpack', 'A snail.', 'A turtle']","[2, -1, -1, -1]"
97,"I hang upside-down on trees.I'm the opposite of busy bees.I sleep and sleep, I'm very slow, and on each footI have three toes.What am I?","['A koala', 'A sloth.', 'A monkey', 'A bat']","[1, -1, -1, -1]"
98,"I am both a bird and a kind of fruit, and I can even be a person.What am I?","['Pineapple', 'Kiwi.', 'Mango', 'Banana']","[1, -1, -1, -1]"
99,"You say ""hey."" I'll eat it.I say ""neigh.""What am I?","['A cow', 'A dog', 'A horse.', 'A cat']","[2, -1, -1, -1]"
100,"My start goes on toast, and my end's how birds move.My baby eats leaves, whereas I drink flowers.","['""Caterpillar""', 'Butterfly.', '""Dragonfly""', '""Ladybug""']","[1, -1, -1, -1]"
101,"Cupid without a bow.Donner with no kebab.One who dances, one who prances, all dragging present-giving dad.What am I?","['A sleigh', 'A reindeer.', 'A snowman', 'A Christmas tree']","[1, -1, -1, -1]"
102,I've got a hole in my back and legs I lack.I live where I can't breathe and I eat without teeth.What am I?,"['A dolphin', 'A whale.', 'A shark', 'A fish']","[1, -1, -1, -1]"
103,"When I walk, I jump, and when I stand, I sit.What animal am I?","['A rabbit', 'A kangaroo.', 'A grasshopper', 'A frog']","[1, -1, -1, -1]"
104,I peel like an onion yet remain whole.Which mystery creature am I?,"['A lizard.', 'A turtle', 'A snake', 'A chameleon']","[0, -1, -1, -1]"
105,"I walk on silken strings and catch all sorts of things.When you find my home, I am gone.What am I?","['A bird', 'A fish', 'A butterfly', 'A spider.']","[3, -1, -1, -1]"
106,I'm the only known mammal incapable of jumping. That's because I'm very large.What animal am I?,"['Giraffe', 'Hippopotamus', 'An elephant.', 'Rhino']","[2, -1, -1, -1]"
107,"My field of vision is 270 degrees, and I'm quiet and sneaky like a ninja when I hunt for my prey.What bird am I?","['A vulture', 'A falcon', 'An owl.', 'A hawk']","[2, -1, -1, -1]"
108,"I was born small and pink, but then I grew big and black and white.I'm lazy to cook, so all I eat is bamboo.What animal am I?","['A polar bear', 'A zebra', 'A panda.', 'A koala']","[2, -1, -1, -1]"
109,"I've got horns, but I can't honk.Instead, I bleat, but I'm no sheep.What am I?","['A goat', 'A horse', 'A cow', 'A deer']","[0, -1, -1, -1]"
110,"I hover and zip through the air with a dazzling flare.I move from flower to flower, humming a tune, but I'm no insect.What am I?","['A dragonfly', 'A butterfly', 'A bumblebee', 'A hummingbird.']","[3, -1, -1, -1]"
111,"I am a king, and the jungle is my kingdom.I have a lush mane, and I'm tough to train.What am I?","['A tiger', 'A bear', 'A lion.', 'A gorilla']","[2, -1, -1, -1]"
112,"I live in a den, and I wear a furry suit.I like to eat fish, but also berries and fruit.I love honey more than you do.What animal am I?","['A raccoon', 'A squirrel', 'A bear.', 'A fox']","[2, -1, -1, -1]"
113,"I wear a tuxedo when I'm swimming, and I slide on my tummy across the ice.What am I?","['A dolphin', 'A polar bear', 'A seal', 'A penguin.']","[3, -1, -1, -1]"
114,"I have a mane, but I'm no lion. I wear shoes, but I'm not a human.What am I?","['A horse.', 'A donkey', 'A zebra', 'A unicorn']","[0, -1, -1, -1]"
115,"I have a lump or two on my back, and I live in the sand.I'm tough and I'll carry you over the land.What am I?","['A mule', 'A camel.', 'A horse', 'A donkey']","[1, -1, -1, -1]"
116,"I'm spotty and swift, but I'm no leopard.And no one wants to play cards with me.What am I?","['A cheetah.', 'A zebra', 'A tiger', 'A hyena']","[0, -1, -1, -1]"
117,The alphabet starts with A and ends in Z. I go the other way around.What am I?,"['A tiger', 'A giraffe', 'A zebra.', 'A lion']","[2, -1, -1, -1]"
118,"I am an animal, but my name makes you think of dessert or something you might put in your hair.What am I?","['A hairbrush', 'A cake', 'A moose.', 'A chocolate']","[2, -1, -1, -1]"
119,"It takes me a couple of weeks to digest what I eat, and I'm never in a hurry.What am I?","['A snail', 'A tortoise', 'A sloth.', 'A koala']","[2, -1, -1, -1]"
120,"You may find me cute, but I'm too big for a pet.I have a long trunk, and I never forget.What am I?","['A hippopotamus', 'An elephant.', 'A giraffe', 'A rhinoceros']","[1, -1, -1, -1]"
121,What is more rewarding when it is hard and long?,"['""A marathon""', '""A career""', '""A puzzle""', 'An education.']","[3, -1, -1, -1]"
122,What do you call an unsinkable virgin?,"['A buoyant maiden', 'A steadfast chaste', 'A cherry float.', 'A resilient pure']","[2, -1, -1, -1]"
123,"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?","['A spoon', 'A toothbrush', 'A pen', 'A straw.']","[3, -1, -1, -1]"
124,"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?","['A pizza delivery person', 'A mail carrier', 'A garbage collector', 'A newspaper delivery person.']","[3, -1, -1, -1]"
125,I work with briefs and I'm amazing when using my mouth. What am I?,"['A singer', 'A dentist', 'A chef', 'A lawyer.']","[3, -1, -1, -1]"
126,Why is a happy sex life like a good steak?,"[""Because it's well-done!"", ""Because it's juicy!"", ""Because it's satisfying!"", ""Because it's rare!""]","[3, -1, -1, -1]"
127,Set me to vibrate when you want some alone time. What am I?,"['A wristwatch', 'A toaster', 'A blender', 'A cell phone.']","[3, -1, -1, -1]"
128,"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?","['The Great Wall of China', 'The Statue of Liberty', 'The Eiffel Tower', 'The Titanic.']","[3, -1, -1, -1]"
129,I absolutely love holding your buns all day. What am I?,"['A hair tie.', 'A pillow', 'A sandwich', 'A baseball glove']","[0, -1, -1, -1]"
130,I drip when you take me in the mouth. What am I?,"['Ice-cream.', 'Popsicle', 'Water', 'Lemonade']","[0, -1, -1, -1]"
131,What gets wetter when things get steamy?,"['Umbrellas', 'Showers', 'Raincoats', 'Steamboats.']","[3, -1, -1, -1]"
132,"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?","['The power of love', 'The passion of a dream', 'The pupils of his eye.', 'The petals of a flower']","[2, -1, -1, -1]"
133,"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?","['A spider.', 'A lion', 'A snake', 'A thunderstorm']","[0, -1, -1, -1]"
134,"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?","['Handbag', 'Clutch', 'Purse.', 'Wallet']","[2, -1, -1, -1]"
135,"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?","['A bonfire', 'A fireplace.', 'A chimney', 'A grill']","[1, -1, -1, -1]"
136,"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?","['A futon', 'A sleeping bag', 'A bunk bed.', 'A hammock']","[2, -1, -1, -1]"
137,What does a man have in his trousers that a lady doesn't want on her face?,"['Wrinkles.', 'Mustache', 'Acne', 'Beard']","[0, -1, -1, -1]"
138,What do men keep in their pants that their partners sometimes blow?,"['Keys', 'Phone', 'Money.', 'Wallet']","[2, -1, -1, -1]"
139,I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,"['An arrow.', 'A pencil', 'A knitting needle', 'A screwdriver']","[0, -1, -1, -1]"
140,What is super hard and goes into a tiny hole?,"['A brick', 'A key.', 'A rock', 'A hammer']","[1, -1, -1, -1]"
141,You have to blow it to play with it. What is it?,"['A trumpet', 'A balloon.', 'A whistle', 'A harmonica']","[1, -1, -1, -1]"
142,What's long and hard and has the word 'cum' in it?,"['A cumulus', 'A cucumber.', 'A column', 'A curriculum']","[1, -1, -1, -1]"
143,"What is six inches long, sweet on the lips, and goes down better with butter?","['Carrot', 'Corn on the cob.', 'Ice cream cone', 'Banana']","[1, -1, -1, -1]"
144,What do you insert in a small hole and twist all the way around?,"['A screwdriver', 'A pencil', 'A key', 'A Q-tip.']","[3, -1, -1, -1]"
145,You can't taste it unless you undress it. What is it?,"['An apple', 'A watermelon', 'A carrot', 'A banana.']","[3, -1, -1, -1]"
146,You play with it at night and it vibrates. What is it?,"['A blender', 'A game controller', 'A toothbrush', 'A cell phone.']","[3, -1, -1, -1]"
147,"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?","['A pencil', 'A lollipop', 'A spoon', 'An electric toothbrush.']","[3, -1, -1, -1]"
148,"I go in hard, come out soft, and you love to blow me. What am I?","['Marshmallow', 'Bubble gum', 'Chewing gum.', 'Cotton candy']","[2, -1, -1, -1]"
149,I am always hard when dry but smooth and soft when wet. What am I?,"['Sand', 'Paper', 'Sponge.', 'Rock']","[2, -1, -1, -1]"
150,What's long and hard when it's young and soft and small when it's old?,"['A candle.', 'A tree', 'A pencil', 'A snake']","[0, -1, -1, -1]"
151,What does a woman have two of that a cow has four of?,"['Arms', 'Ears', 'Eyes', 'Legs.']","[3, -1, -1, -1]"
